Floor Unit,Crane No.,T Port No.,D Position Fork To T Port Distance Front Left,D Position Fork To T Port Distance Rear Left,D Position Fork To T Port Distance Front Right,D Position Fork To T Port Distance Rear Right,U Position Fork To T Port Distance Front Left,U Position Fork To T Port Distance Rear Left,U Position Fork To T Port Distance Front Right,U Position Fork To T Port Distance Rear Right,Fork Center To T Port Center Distance,Crane Move Center To T Port Distance
East GF,21,214,38,31,36,29,99,101,99,106,4.0,2
East GF,22,224,28,35,30,36,105,101,105,106,1.0,-2
East GF,27,274,28,29,25,25,102,100,101,107,1.0,2
East GF,28,284,36,33,44,44,94,102,84,88,1.0,-4
West 1F,36,1361,35,39,42,46,95,90,85,87,-3.0,-15
West 1F,37,1371,28,29,29,32,101,106,98,96,-13.0,-1
West 2F,34,2341,32,30,33,39,103,100,97,93,-2.0,-1
West 2F,36,2361,37,28,37,30,89,88,86,90,-2.0,-16
West 2F,37,2371,39,42,31,40,85,78,90,80,-1.0,5
West 2F,38,2381,41,48,41,50,110,99,110,97,0.0,1
East GF,21,213,45,41,48,45,87,90,85,88,3.0,-2
East GF,22,223,35,25,34,29,85,94,90,90,1.0,-12
East GF,23,233,38,34,54,51,100,104,83,88,1.0,0
East GF,27,273,31,35,44,45,103,98,93,89,-4.0,0
East GF,28,283,37,36,37,37,97,98,94,102,2.0,10
East GF,29,293,31,28,28,28,89,94,95,97,0.5,4
West 1F,37,1372,32,33,36,38,96,96,92,93,3.0,5
West 2F,34,2342,28,29,27,29,94,95,96,90,-7.0,-3
West 2F,36,2362,38,38,42,36,95,97,90,97,-3.0,-7
West 2F,38,2382,30,36,47,43,90,88,83,83,-13.0,-2
