Floor Unit,Crane No.,T Port No.,D Position Fork To T Port Distance Front Left,D Position Fork To T Port Distance Rear Left,D Position Fork To T Port Distance Front Right,D Position Fork To T Port Distance Rear Right,U Position Fork To T Port Distance Front Left,U Position Fork To T Port Distance Rear Left,U Position Fork To T Port Distance Front Right,U Position Fork To T Port Distance Rear Right,Fork Center To T Port Center Distance,Crane Move Center To T Port Distance
East GF,21,0213,45,41,48,45,87,90,85,88,3,-2
East GF,22,0223,35,25,34,29,85,94,90,90,1,-12
East GF,23,0233,38,34,54,51,100,104,83,88,1,0
East GF,27,0273,31,35,44,45,103,98,93,89,-4,0
East GF,28,0283,37,36,37,37,97,98,94,102,2,10
East GF,29,0293,31,28,28,28,89,94,95,97,0.5,4
West 1F,36,1362,32,31,26,26,100,104,105,105,7,-6
West 1F,37,1372,32,33,36,38,96,96,92,93,3,5
West 2F,34,2342,28,29,27,29,94,95,96,90,-7,-3
West 2F,35,2352,29,31,30,30,98,101,103,104,13,-11
West 2F,36,2362,38,38,42,36,95,97,90,97,-3,-7
West 2F,37,2372,32,25,31,31,97,99,99,97,5,1
West 2F,38,2382,30,36,47,43,90,88,83,83,-13,-2
