Floor Unit,Crane No.,T Port No.,D Position Fork To T Port Distance Front Left,D Position Fork To T Port Distance Rear Left,D Position Fork To T Port Distance Front Right,D Position Fork To T Port Distance Rear Right,U Position Fork To T Port Distance Front Left,U Position Fork To T Port Distance Rear Left,U Position Fork To T Port Distance Front Right,U Position Fork To T Port Distance Rear Right,Fork Center To T Port Center Distance,Crane Move Center To T Port Distance
West 1F,36,1361,35,39,42,46,95,90,85,87,-3.0,-15
West 1F,37,1371,28,29,29,32,101,106,98,96,-13.0,-1
West 2F,36,2361,37,28,37,30,89,88,86,90,-2.0,-16
East GF,22,223,35,25,34,29,85,94,90,90,1.0,-12
East GF,28,283,37,36,37,37,97,98,94,102,2.0,10
West 1F,36,1362,32,31,26,26,100,104,105,105,7.0,-6
West 2F,34,2342,28,29,27,29,94,95,96,90,-7.0,-3
West 2F,35,2352,29,31,30,30,98,101,103,104,13.0,-11
West 2F,36,2362,38,38,42,36,95,97,90,97,-3.0,-7
West 2F,38,2382,30,36,47,43,90,88,83,83,-13.0,-2
